Age,Employment_Status,Marital_Status,Dependents,Monthly_Income,Savings,Food_Grocery_Expenses,Internet_Mobile_Expenses,Electricity_Bills,Shopping_Expenses,Personal_Expenses,Miscellaneous_Expenses,Rent,Own_House,Active_Loans,Loan_1_Amount,Loan_1_EMI,Loan_2_Amount,Loan_2_EMI,Credit_Score,Investments,Stock_Quantity,Loan_Approval_Chance,Investment_Recommendation,Portfolio_Optimization
47,Employed,Single,0,110352,307551,16940,1211,2422,9671,2418,4942,0,1,0,423116,28370,98593,0,301,FD,174,0,None,Yes
40,Employed,Single,1,110256,232976,12341,4542,5768,11726,5774,2212,12708,0,1,989029,18600,932125,20952,301,Stocks,0,0,SIP,No
31,Employed,Married,1,130665,464788,12445,3026,4514,2525,9664,4474,10958,1,1,291221,7156,211687,12863,301,None,0,0,None,No
56,Employed,Single,0,93509,180588,7169,3467,2876,7080,2453,4806,36336,1,0,715288,23752,631911,8850,302,FD,0,0,Stocks,No
45,Employed,Married,3,100625,206139,19879,3393,6630,9895,4229,3677,0,0,0,131930,10823,657840,0,302,SIP,0,0,FD,No
54,Employed,Single,1,173318,39221,19350,4910,5834,5757,2940,6730,19221,0,1,959193,7240,272092,0,302,None,0,0,Stocks,Yes
48,Employed,Married,3,74395,223635,6127,4074,2273,12077,9786,6069,0,1,1,190459,20468,171556,0,302,None,0,0,FD,Yes
49,Employed,Single,3,21803,68332,9484,3431,5346,6252,9820,1898,35713,1,2,993253,12702,820380,11484,302,None,0,0,FD,Yes
36,Employed,Married,0,75276,239813,15855,1655,2931,14068,1241,4086,26145,0,1,234929,9333,594571,6241,302,SIP,0,0,None,No
63,Employed,Married,1,175739,98098,17542,1886,5459,12351,8984,4783,36288,0,2,590115,13853,656253,0,302,FD,28,0,SIP,No
33,Employed,Single,1,56892,265200,8072,3870,2229,3429,2277,4157,27636,0,1,103606,12918,323997,29879,302,Stocks,0,0,FD,No
61,Employed,Single,0,184200,266871,8104,2608,4722,13717,6634,1419,16263,1,2,108292,9350,137343,22289,302,None,0,0,FD,Yes
53,Employed,Single,0,20819,79006,13576,1209,5307,11511,8342,3537,0,1,2,240678,23541,454071,0,302,FD,0,0,None,No
31,Employed,Married,3,79566,403049,18724,1750,2452,7975,7282,6975,0,0,1,802267,10540,318049,12519,302,None,0,0,Stocks,Yes
44,Employed,Married,1,108614,24895,6789,1208,4480,8059,5992,1522,0,0,2,248877,19166,402310,21836,302,SIP,191,0,None,Yes
59,Employed,Single,2,94111,354154,13135,3163,5925,11394,7829,2831,13250,1,1,742552,9894,395436,0,302,Stocks,0,0,SIP,No
45,Employed,Single,2,187422,453462,8465,1240,2820,11529,9283,6640,17428,1,0,238721,21813,263506,0,302,None,0,0,FD,Yes
41,Employed,Married,2,164370,190619,8722,2553,3438,5401,5932,5684,10738,1,0,174707,9481,621926,23353,302,SIP,0,0,FD,Yes
54,Employed,Married,3,126975,325354,8102,4607,5493,7202,1965,3447,0,0,2,601555,27653,811407,0,303,None,0,0,SIP,No
57,Employed,Single,3,157098,163559,18277,3653,5439,9839,3631,6224,33416,1,0,672822,27634,231715,0,303,SIP,0,0,Stocks,Yes
62,Employed,Single,3,113724,287079,17422,1877,4475,9508,5954,6490,11641,1,2,928659,26847,324876,0,303,FD,0,0,Stocks,Yes
55,Employed,Single,3,106921,273420,11642,2993,6742,7695,9596,3171,27438,1,2,453981,25826,934183,0,303,SIP,0,0,None,Yes
37,Employed,Single,0,139421,133787,10285,4224,5547,12928,4057,1524,0,1,2,213463,26710,66849,0,303,None,368,0,None,No
35,Employed,Married,2,122874,111973,14158,2940,6926,8401,4180,6954,24147,1,0,495820,21404,823638,0,303,None,0,0,FD,No
58,Employed,Single,3,128732,479971,8669,3239,3426,8791,9660,6737,0,1,0,736600,14822,623378,0,303,FD,0,0,FD,No
46,Employed,Single,1,39471,350406,6222,2595,6874,12250,3230,6009,19347,1,1,324882,19405,854067,0,303,FD,0,0,FD,No
62,Employed,Married,1,35836,43227,11892,2433,2920,4840,7201,5025,0,1,1,919836,17965,588667,13899,303,FD,0,0,Stocks,No
45,Employed,Married,0,100863,401209,5616,3024,3320,10879,9203,5523,0,0,2,502750,24079,270290,0,304,None,0,0,None,No
61,Employed,Married,2,179504,98397,11364,3435,4567,11483,3971,2797,0,1,0,561626,29293,607862,0,304,SIP,0,0,SIP,Yes
55,Employed,Married,3,92404,298712,14690,3144,3891,14287,2158,4802,32063,1,0,285157,16414,317925,0,304,SIP,0,0,Stocks,Yes
49,Employed,Single,0,160601,403853,12844,1137,3079,5941,2194,5243,0,1,0,605749,8443,322937,0,304,None,304,0,FD,No
26,Employed,Married,3,39003,60015,17367,1138,5801,2492,7612,2842,14903,1,0,346302,27657,527749,22218,304,FD,0,0,Stocks,No
28,Employed,Married,2,176408,378548,14323,2553,5856,10476,8915,3299,36361,0,1,359082,23043,381424,0,304,None,0,0,Stocks,No
43,Employed,Married,2,28475,21620,19170,4038,4948,2006,9824,3853,34729,1,1,211129,26293,191592,0,304,SIP,0,0,SIP,Yes
42,Employed,Married,0,88335,394828,17219,3130,2978,6470,7101,4548,39182,0,1,194766,8894,382710,5006,304,FD,0,0,FD,Yes
56,Employed,Single,3,63775,345185,5472,4398,4778,7694,2004,5924,0,0,1,591312,22852,846712,0,304,FD,426,0,Stocks,No
28,Employed,Single,2,50766,381734,14903,2489,4742,14465,1193,4465,0,1,2,315880,12023,708298,8557,304,FD,0,0,None,No
36,Employed,Single,2,33341,467256,5757,2997,4265,9559,6201,3063,0,1,2,842391,8479,433476,21619,304,FD,0,0,FD,No
59,Employed,Single,1,49339,20084,8689,2178,5382,13401,1357,4934,0,1,0,756345,20146,652509,0,304,None,0,0,SIP,Yes
39,Employed,Married,1,114326,377346,9043,1307,4222,13626,7769,6982,27436,1,2,913106,13414,10026,0,305,FD,0,0,None,No
48,Employed,Married,1,38703,118581,7090,3875,3049,3205,2039,5845,0,1,1,853487,20348,457507,29419,305,SIP,0,0,Stocks,No
45,Employed,Single,2,36297,491992,11718,1675,6388,10522,7721,1080,29967,0,0,945330,28966,704525,21831,305,FD,0,0,FD,No
46,Employed,Single,1,58270,194866,9426,3122,4228,11798,3120,3050,23172,0,0,710674,20974,494628,0,305,FD,0,0,Stocks,No
54,Employed,Married,1,27560,403736,9176,1593,4924,8802,8764,1684,38159,1,2,756956,5369,667917,0,305,None,0,0,Stocks,No
60,Employed,Married,1,187001,34456,15015,3929,2978,3262,8373,5787,0,1,2,796868,11752,968339,0,305,None,0,0,None,No
32,Employed,Single,1,58211,379734,8643,4177,2549,2492,1685,3884,0,1,1,566497,11817,433549,20478,305,FD,0,0,None,Yes
27,Employed,Married,1,97666,9017,16048,1400,3158,11577,4589,2896,0,0,0,976906,5204,498819,10649,305,None,356,0,None,Yes
34,Employed,Single,3,27498,112036,19676,4664,5598,14725,5788,2918,0,1,2,566240,28725,709571,0,305,Stocks,0,0,Stocks,Yes
53,Employed,Married,2,134372,430965,19422,2919,2732,5537,1558,3359,0,1,0,656610,19202,240708,10203,306,None,484,0,SIP,No
57,Employed,Single,2,195824,64672,12989,4016,4505,11720,2120,2666,29075,1,1,328182,18834,503006,25126,306,Stocks,0,0,SIP,No
59,Employed,Married,3,195363,424241,9043,4994,5317,5165,4622,4291,28794,1,1,457166,24398,977241,12919,306,None,253,0,None,Yes
58,Employed,Married,1,167397,60830,7935,2725,6310,11148,4943,2774,0,0,0,263392,7804,950524,27516,306,None,0,0,SIP,Yes
46,Employed,Married,1,61522,116258,16976,3895,5989,14088,1672,1172,0,1,2,916515,20327,917563,19379,306,None,0,0,FD,Yes
49,Employed,Single,2,158326,116115,16598,3838,5585,2645,2746,2657,9423,0,2,264924,28158,95866,14490,306,SIP,381,0,Stocks,No
55,Employed,Single,0,124936,162318,7282,3124,2969,2153,2288,5689,9842,1,0,599662,25548,926273,0,306,None,0,0,FD,Yes
51,Employed,Married,3,34835,78904,15477,1707,4622,10247,2571,1750,0,1,1,179706,8560,688445,5097,306,SIP,0,0,Stocks,No
30,Employed,Single,0,196006,47030,12160,4442,3578,2674,1276,3861,32973,0,0,668803,26986,609220,0,306,Stocks,0,0,Stocks,No
59,Employed,Married,0,53161,295184,5194,1786,3746,8654,4742,4808,0,1,2,616304,7754,133497,0,306,FD,0,0,None,No
42,Employed,Married,0,115203,333496,13212,4544,3309,7526,6163,2931,21276,1,1,548186,25538,410533,0,306,None,102,0,FD,No
26,Employed,Married,2,186371,269164,18141,3101,3274,4868,4351,4629,0,1,0,358164,19260,320121,18350,306,None,0,0,None,Yes
44,Employed,Married,1,182428,357446,6472,3704,3436,4152,4707,3418,14947,1,1,370253,9915,612921,0,307,SIP,0,0,Stocks,Yes
62,Employed,Married,2,124700,399490,12937,3755,4482,2021,3110,2327,28610,0,0,341888,12712,496152,15425,307,Stocks,0,0,Stocks,Yes
41,Employed,Married,3,160753,260309,6488,2460,4052,4868,8895,4301,18109,0,2,457798,19846,199760,16086,307,None,0,0,Stocks,No
44,Employed,Married,2,150062,318460,12898,2619,3426,2722,4336,4261,30043,1,1,146417,5250,534373,0,307,SIP,316,0,Stocks,Yes
60,Employed,Single,1,179526,388572,17658,2458,6482,10922,2838,3076,31182,0,1,475840,16753,42851,0,307,FD,0,0,SIP,No
48,Employed,Married,0,77247,263540,5850,4789,6723,11248,7280,3718,0,1,1,111079,21841,370355,0,307,None,249,0,SIP,No
64,Employed,Single,0,180179,457716,15514,1429,4073,13078,1396,3755,12736,1,2,538226,5589,373496,0,308,FD,0,0,None,Yes
57,Employed,Married,3,120584,285345,12552,1727,4261,11244,3883,2586,14316,0,1,197337,17859,756935,0,308,SIP,0,0,Stocks,No
64,Employed,Married,0,147071,31326,6597,3207,6816,5995,9042,3376,0,1,1,316888,26633,188518,0,308,SIP,0,0,Stocks,No
49,Employed,Married,3,47135,241940,13254,1957,3752,7648,6237,2316,20640,1,2,821284,8259,840064,28635,308,FD,85,0,SIP,Yes
58,Employed,Married,1,144668,317262,17973,3382,4947,6682,5717,3719,0,1,1,436826,20261,433915,0,308,SIP,0,0,FD,No
43,Employed,Single,2,126298,286310,17208,1770,2448,4450,7193,1164,32869,0,2,503621,11935,797371,18078,308,Stocks,459,0,None,Yes
53,Employed,Single,3,126873,236622,8400,4012,3816,13406,6775,1380,16958,0,2,466987,13703,228472,15586,308,FD,0,0,Stocks,Yes
59,Employed,Married,2,29143,376854,12109,3302,5219,6993,5515,4781,0,0,2,855450,13547,717988,24256,308,FD,137,0,Stocks,Yes
51,Employed,Single,2,142372,141687,13360,3227,5877,3614,2690,1256,26316,1,0,521781,10188,475726,8878,308,None,0,0,Stocks,Yes
61,Employed,Single,1,63147,392134,12904,2840,5347,6921,9031,2944,0,0,1,845685,13620,628719,20460,309,SIP,0,0,None,Yes
54,Employed,Married,2,127236,388500,10595,3743,4562,4352,1905,5512,33381,0,2,790598,14010,133607,20268,309,None,0,0,SIP,No
26,Employed,Married,2,20209,205029,8384,3513,2799,5173,9353,5780,0,1,0,180056,5301,585399,21781,309,SIP,0,0,FD,Yes
49,Employed,Single,0,149672,320782,7162,3114,2256,11123,4685,5073,37186,1,2,816660,7536,809784,28487,309,FD,89,0,FD,Yes
56,Employed,Single,1,86304,237652,18470,1708,6122,6800,9735,4088,0,1,2,970888,28878,429450,0,309,FD,0,0,Stocks,No
42,Employed,Married,3,44053,327407,18210,1224,2031,11985,8195,1923,0,0,2,639055,13918,816654,0,309,None,0,0,Stocks,No
58,Employed,Married,1,197839,146987,12456,4249,2246,10412,3328,4042,36119,1,2,372596,21142,795697,0,309,Stocks,0,0,Stocks,No
33,Employed,Married,3,155688,204247,13707,3079,5646,9254,5700,2487,21648,0,1,929391,27114,743959,8622,309,None,0,0,Stocks,No
26,Employed,Single,0,134637,167839,18292,1166,3248,9606,4632,1687,0,0,1,846351,17309,94097,0,310,Stocks,0,0,SIP,No
46,Employed,Single,0,70169,412467,8127,1962,2965,12062,8934,1663,0,0,1,995291,8165,925410,23410,310,None,0,0,SIP,No
30,Employed,Single,1,31492,53723,13766,1096,3824,4329,9910,4205,29596,1,1,913308,10954,875526,5658,310,FD,0,0,FD,Yes
32,Employed,Single,1,38083,378673,11774,3624,4060,9379,1131,2773,21764,1,0,439613,17499,949436,23324,310,SIP,0,0,None,Yes
60,Employed,Married,2,143270,294717,11976,1521,6881,2424,1921,3527,12306,0,2,225824,12316,730529,0,310,FD,0,0,Stocks,No
25,Employed,Single,1,87344,478319,14847,3831,3878,8348,4979,4599,30142,0,1,321466,9085,757831,10355,310,Stocks,0,0,SIP,No
50,Employed,Married,0,76941,29466,11542,2743,4682,9211,1463,3211,15776,0,2,173318,7126,703398,6008,310,None,154,0,SIP,Yes
36,Employed,Married,1,162499,12792,8603,2661,4642,5232,9653,4301,0,1,0,678382,20622,446926,0,310,SIP,282,0,Stocks,Yes
49,Employed,Married,1,178152,82674,8470,4014,2740,11054,6541,4357,0,1,1,188341,18277,93379,0,311,SIP,0,0,None,No
40,Employed,Married,0,152185,130764,19320,4490,6799,10159,8061,6465,26908,1,1,188994,25912,382055,0,311,FD,0,0,SIP,No
59,Employed,Single,2,55017,497264,11090,2700,4546,5322,8485,2853,21454,1,0,400918,17758,101609,12774,311,None,405,0,None,Yes
52,Employed,Married,1,126860,55430,16988,2019,3181,5355,7220,3825,20088,0,2,518069,22267,520283,15152,311,Stocks,0,0,None,No
47,Employed,Married,2,133234,300229,9542,2922,4271,5455,9317,6095,34679,0,2,546776,13737,152031,6965,311,FD,0,0,SIP,No
62,Employed,Married,0,112142,329270,10697,4679,5163,5203,4788,6344,18088,1,1,847957,24203,331899,12574,311,SIP,0,0,SIP,No
44,Employed,Married,3,79115,155815,19744,4789,3942,11231,9778,5739,27771,1,1,290215,16297,667286,6463,312,FD,0,0,None,Yes
39,Employed,Single,3,90092,260936,5554,2121,6395,5411,5481,2688,20676,0,1,135432,16774,402182,17612,312,SIP,230,0,FD,No
52,Employed,Married,0,127747,447867,14548,2168,6751,2552,9793,6634,0,1,0,187827,13780,205059,14257,312,FD,0,0,Stocks,No
27,Employed,Single,2,105567,250861,19299,4860,6157,8046,2963,2241,0,1,0,176762,25950,191014,13163,312,Stocks,0,0,FD,No
52,Employed,Married,1,180855,454129,18340,2439,6069,3296,8854,3673,9423,1,0,337935,6629,794743,15773,312,FD,0,0,None,Yes
56,Employed,Single,2,161890,192264,16165,3851,5445,9056,1730,2831,36967,0,0,707388,5996,123644,18417,312,None,0,0,None,Yes
60,Employed,Married,0,27247,267229,14833,2158,4548,8758,5231,4229,0,1,1,537422,13159,715926,7455,312,SIP,0,0,None,Yes
35,Employed,Married,3,75572,54544,18259,2122,6097,11807,9764,4622,0,1,0,729804,7965,362562,25426,312,FD,0,0,SIP,Yes
28,Employed,Married,3,151889,303692,16416,1986,2314,8512,8743,2812,0,1,0,227153,16438,288562,8950,312,SIP,0,0,None,Yes
50,Employed,Married,0,153286,386967,17899,3469,5079,10301,6143,4496,18725,1,1,911082,12844,124998,20584,312,FD,0,0,SIP,Yes
62,Employed,Single,2,40428,167858,9755,1335,2368,14570,5266,1197,0,1,1,989515,9958,487196,0,313,SIP,190,0,SIP,No
51,Employed,Married,0,100379,204183,7112,1717,5642,10784,4824,1213,0,1,1,645841,19549,230900,0,313,None,286,0,SIP,Yes
52,Employed,Single,2,113496,361833,15873,4570,5888,7160,3275,1777,0,0,2,511980,29143,726116,16444,313,None,0,0,Stocks,No
26,Employed,Married,0,31391,278717,11633,3956,2839,5145,2323,1071,31499,0,0,872450,24730,612111,27619,313,Stocks,0,0,FD,Yes
59,Employed,Single,3,103657,54902,11677,3819,2966,12851,8218,2331,30993,0,0,142943,12071,52152,23122,314,FD,332,0,FD,No
46,Employed,Single,3,65569,455236,10222,3743,5249,10506,8780,6529,15933,0,1,532676,22564,440324,12668,314,None,0,0,None,Yes
50,Employed,Single,1,185172,187390,17186,2099,3745,6652,4937,4309,0,0,0,805467,11598,965680,17004,314,FD,0,0,Stocks,Yes
29,Employed,Single,3,56902,215167,18134,2296,6778,6301,4146,3080,0,1,1,827024,29682,854136,0,314,SIP,0,0,Stocks,No
36,Employed,Married,0,34789,266301,15448,4824,3906,6102,2225,6561,0,0,2,861549,24763,130074,29969,314,Stocks,0,0,None,No
45,Employed,Single,0,65689,278908,8433,2170,3417,10564,3561,5453,33245,0,1,315796,21513,782963,0,314,FD,0,0,Stocks,Yes
29,Employed,Married,1,45847,145470,19848,3083,3345,8219,1125,1924,0,1,0,271629,29183,661690,22276,314,FD,0,0,Stocks,Yes
39,Employed,Married,2,99139,175327,11179,4831,4217,6268,1752,1146,10662,1,1,287643,28254,831968,0,314,None,0,0,None,Yes
44,Employed,Single,3,180266,375127,6511,4165,4262,14565,4439,3776,21806,0,1,585642,11734,157953,15560,315,FD,0,0,SIP,No
58,Employed,Single,2,52241,314142,9493,1102,2786,12453,6801,3306,17529,1,1,742386,11896,768846,16242,315,None,0,0,None,No
33,Employed,Single,3,81125,438020,13121,2768,5344,7836,8723,3573,30169,0,0,220937,12281,439924,0,315,FD,216,0,SIP,No
49,Employed,Single,3,166181,411897,6469,1411,6271,13635,7016,6913,0,0,0,987383,14603,20594,11683,315,Stocks,0,0,None,No
50,Employed,Single,2,133393,40783,5887,2291,5912,12873,5812,1563,0,1,0,592188,16385,355582,23102,315,None,202,0,FD,Yes
41,Employed,Married,0,20547,157241,8710,1646,3770,6786,5849,6689,27480,1,0,439890,11951,444922,0,315,FD,298,0,Stocks,Yes
34,Employed,Single,1,34746,82484,17257,4907,2596,13503,5437,2813,0,1,2,471587,29705,616461,24549,315,None,248,0,SIP,No
63,Employed,Single,3,91124,365058,16325,3194,2865,12428,8478,3033,15696,1,2,289908,9763,504474,22429,315,SIP,172,0,None,Yes
59,Employed,Married,2,59426,283322,15988,1241,2152,5840,4227,2585,20113,0,1,323172,17512,941007,0,315,FD,0,0,None,Yes
57,Employed,Single,1,27747,328476,6762,2006,4833,2264,6267,6013,0,1,0,485235,10184,615105,18830,316,None,0,0,Stocks,No
48,Employed,Married,1,47780,147351,7524,1972,3380,6769,4780,3408,0,1,1,751263,19677,62370,21630,316,FD,0,0,Stocks,No
56,Employed,Single,2,29435,58971,19044,4718,4701,3623,1521,3995,18739,1,2,328743,10718,659322,0,316,None,0,0,FD,Yes
30,Employed,Single,0,167247,380289,8099,3258,6648,3467,2798,1292,13692,0,1,877003,18474,807176,6964,316,SIP,0,0,None,No
54,Employed,Married,2,145188,324265,8417,2819,5068,2429,4668,2692,0,1,1,641129,13622,770439,0,316,FD,390,0,Stocks,No
27,Employed,Married,3,177119,141054,12023,4511,6676,5283,1461,4951,0,0,0,690150,13315,997841,0,316,FD,0,0,SIP,Yes
59,Employed,Single,0,153249,41174,15855,2964,5930,8160,4197,2148,25249,1,0,534029,27264,384003,5899,316,SIP,0,0,FD,No
61,Employed,Married,0,56861,492406,17993,2335,5034,14794,3307,4974,11744,0,2,100740,8036,675141,5913,316,SIP,441,0,Stocks,No
27,Employed,Single,3,138299,131356,7933,3035,4813,9981,7989,6379,15922,1,1,687644,27722,829888,0,316,None,0,0,SIP,No
53,Employed,Married,3,102567,99358,18196,1266,2693,5679,2713,4854,13880,1,0,509593,18526,554724,19430,316,FD,108,0,None,Yes
42,Employed,Single,3,113901,213077,14151,1472,6092,2324,5237,1591,27132,1,2,711372,29532,191223,0,316,FD,0,0,None,Yes
39,Employed,Married,2,140536,299793,12428,2027,4770,10550,1263,3543,17233,0,1,516835,5209,926677,0,316,Stocks,0,0,FD,No
29,Employed,Married,3,148058,199573,18270,4860,4348,14924,7976,5850,23897,1,2,777518,13135,869269,0,316,None,0,0,SIP,No
46,Employed,Married,0,49234,50384,8016,1776,2644,7560,4966,1352,20580,1,1,339461,24428,45558,0,316,FD,0,0,None,Yes
39,Employed,Married,1,98597,218057,7288,3267,4428,10133,6223,3781,0,1,0,798200,12345,684528,0,316,FD,0,0,Stocks,Yes
44,Employed,Married,0,182363,67176,14190,3361,5248,11371,5285,4961,29525,1,1,503470,6160,551402,0,317,None,0,0,SIP,No
41,Employed,Married,3,189244,163569,12618,4426,4771,6366,2959,2217,31377,0,0,512716,29780,566053,24934,317,None,0,0,SIP,No
58,Employed,Single,3,21145,68269,10988,3979,3854,7117,6508,6933,33359,0,2,701343,13155,165182,29233,317,SIP,0,0,Stocks,Yes
40,Employed,Single,3,74673,376241,16931,4942,4170,6222,5097,1754,0,1,2,108525,13866,357501,0,317,Stocks,0,0,Stocks,Yes
35,Employed,Married,3,85876,164690,8070,3702,6163,8987,4338,4041,13828,0,1,785726,21750,596657,26423,317,None,0,0,Stocks,No
53,Employed,Married,3,97895,307647,13752,1207,2851,4963,6647,6210,13837,1,0,629113,22144,461200,17023,318,SIP,0,0,None,Yes
48,Employed,Single,3,62001,48930,13572,1118,4823,2449,7284,1996,10753,0,2,590070,21735,989425,0,318,None,217,0,SIP,Yes
51,Employed,Married,2,161589,494981,17371,1992,4365,2034,8575,3418,23500,1,2,818406,28911,337819,8882,318,None,229,0,None,Yes
39,Employed,Married,2,188061,479167,8475,2357,5101,9648,6843,1778,21951,1,2,588092,24214,149703,6047,318,SIP,0,0,SIP,No
45,Employed,Single,2,157166,194278,10770,4575,5812,10428,2217,1408,35270,0,0,747603,7811,256475,5339,318,FD,451,0,FD,Yes
49,Employed,Single,0,145797,377770,16779,4883,5228,13336,1381,2520,26021,0,0,710747,24499,503651,0,318,None,318,0,FD,No
54,Employed,Single,0,77202,5819,16845,3470,3066,11297,6753,3904,8705,0,1,352044,27161,282873,9995,318,FD,62,0,Stocks,No
55,Employed,Single,1,175339,180283,10891,2485,2266,12291,6992,5305,0,1,0,448936,13440,890332,14489,318,FD,0,0,SIP,No
49,Employed,Married,2,132749,230572,14973,3131,6276,10301,4376,2724,0,0,0,861058,5921,15864,10341,318,None,194,0,FD,Yes
47,Employed,Single,0,177337,60766,5604,1503,6857,2642,3749,2571,39693,0,0,933191,18430,450832,0,318,SIP,0,0,FD,Yes
29,Employed,Married,3,176679,468873,14036,2296,6212,14406,9188,1650,0,1,2,612824,20340,141972,0,319,Stocks,23,0,None,No
54,Employed,Married,0,138104,409240,7700,3471,3932,8996,7092,5668,0,1,0,479459,25962,521012,6433,319,SIP,0,0,None,Yes
63,Employed,Single,0,94858,470085,15897,2949,4977,8899,5198,4793,13518,0,1,455185,17382,600882,0,319,FD,0,0,FD,No
55,Employed,Single,2,170584,313842,14058,2209,2711,12134,1948,3961,26082,1,2,942838,22095,156872,0,319,FD,305,0,Stocks,Yes
57,Employed,Single,2,177855,330948,10269,1746,3230,10605,9546,5675,0,1,1,942719,18271,251139,9360,319,None,0,0,FD,No
28,Employed,Single,2,126849,75658,15816,2771,3457,11999,6150,4793,15553,0,2,684203,26086,250742,15255,319,SIP,397,0,FD,Yes
59,Employed,Single,2,99437,61058,15171,2838,3149,13240,6482,4889,11134,0,0,772781,7103,692812,11533,319,Stocks,0,0,Stocks,No
57,Employed,Married,3,121058,124752,7423,1432,4927,8583,5607,5059,0,0,1,767778,16126,51084,11305,320,SIP,0,0,Stocks,No
38,Employed,Married,0,171981,66282,9483,3832,5847,10029,2041,6096,20552,1,2,117943,25338,971028,8056,320,None,0,0,FD,Yes
37,Employed,Single,3,175829,162975,16934,3589,2314,10208,6944,3103,34729,1,1,700882,25292,218760,0,320,None,318,0,FD,No
37,Employed,Married,2,47419,86725,15284,1819,2669,4402,2186,5217,38733,1,2,898733,17493,694587,13515,320,None,0,0,None,No
59,Employed,Single,3,65350,382344,9436,4664,2570,8617,6720,4162,0,1,2,558274,15826,42090,21956,320,None,159,0,Stocks,Yes
38,Employed,Single,3,176577,144807,8263,2708,5615,7775,4889,4609,24117,0,1,775940,8565,122661,12297,320,FD,0,0,None,No
42,Employed,Single,0,95111,400579,12221,4217,2250,10004,1206,3953,33306,1,0,966646,9337,146942,16794,320,SIP,210,0,FD,Yes
57,Employed,Single,3,101285,91300,15314,3416,6087,4593,3924,2586,28993,1,0,288100,5252,746967,12421,320,Stocks,0,0,SIP,Yes
28,Employed,Married,2,108987,244432,18303,3535,5526,12718,5115,1902,32536,1,2,306391,5055,866656,0,320,FD,0,0,None,No
56,Employed,Married,0,71539,47786,14685,2797,4161,4207,5549,5049,0,1,1,283842,6816,259497,23379,320,Stocks,0,0,FD,Yes
37,Employed,Married,2,119227,264979,7042,2838,5339,8886,6219,1789,0,1,2,973041,8911,662508,9334,320,None,0,0,None,Yes
53,Employed,Married,2,112221,104668,17973,3500,3909,2536,7427,6049,0,1,1,806320,28788,346412,21787,320,SIP,0,0,FD,No
59,Employed,Single,0,28541,155689,18427,1214,5151,9494,2426,6804,0,1,2,799142,5314,101506,26341,321,FD,0,0,FD,Yes
27,Employed,Married,2,156821,59109,19072,3963,2779,10073,2844,4544,0,1,2,261920,7085,61497,18411,321,None,0,0,None,Yes
42,Employed,Single,3,114377,106320,10971,3139,3932,5000,9159,5332,22358,1,1,709664,12478,623216,12854,321,None,0,0,Stocks,No
27,Employed,Married,1,95696,141581,15869,3206,4152,8745,6612,5888,0,0,2,942986,15714,681502,20185,321,SIP,246,0,FD,Yes
44,Employed,Single,0,103650,308207,18285,4884,5455,3310,8636,2390,24588,1,1,474395,29528,252282,28020,321,None,0,0,None,No
62,Employed,Married,1,76605,350957,9885,1481,2116,10598,9655,5287,10326,0,1,390290,19874,299942,0,321,FD,0,0,Stocks,No
63,Employed,Married,0,88570,72271,10315,1532,5429,8474,3282,6769,0,1,0,569410,28427,684196,17469,321,None,0,0,FD,No
