User_ID,Age,Occupation,Income (INR),Expenses (INR),Loan Amount (INR),Loan Type,Loan EMI (INR),Savings (INR),Investments (INR),Risk Tolerance,Investment Preference,Credit Score,Debt-to-Income Ratio (%),Financial Literacy,Owns House
27,42,Government Employee,62867,28321,1887856,Education Loan,15940,18604,6850,Moderate,Mutual Funds,515,25.35629592017463,Medium,True
28,44,Teacher,81294,53967,1531658,Home Loan,8457,18869,9037,Moderate,Mutual Funds,663,10.403854957152689,Medium,True
29,59,Self-employed,74099,34429,10809,Personal Loan,89,39579,15205,Moderate,Mutual Funds,708,0.12085677779877105,Medium,False
30,45,Doctor,63448,31863,2692,Two-wheeler Loan,29,31555,18170,Moderate,Mutual Funds,656,0.04596330959475363,High,True
31,33,Banker,37402,29123,756201,Two-wheeler Loan,6834,1444,940,Low,Fixed Deposits,519,18.273357429017985,High,False
32,32,Teacher,46330,28913,286790,Home Loan,2014,15402,6409,Low,Fixed Deposits,720,4.34814467031472,Medium,False
33,20,Agriculture,43414,30402,306129,Home Loan,2102,10908,3630,Low,Fixed Deposits,862,4.844004354748992,Low,True
34,54,Doctor,40594,25297,928133,Business Loan,4618,10677,4477,Low,Fixed Deposits,688,11.378422513660055,High,True
35,24,Engineer,41950,26051,469528,Education Loan,2407,13491,7675,Low,Fixed Deposits,642,5.738970643434,High,False
36,38,Teacher,41417,18126,647639,Car Loan,4553,18736,8085,Low,Fixed Deposits,693,10.994406266450532,Medium,False
37,26,Government Employee,40531,21784,386150,Home Loan,1819,16927,6961,Low,Fixed Deposits,589,4.489342393519208,Medium,True
38,56,Engineer,69037,35414,1304470,Two-wheeler Loan,16191,17430,6515,Moderate,Mutual Funds,583,23.454084650733865,High,False
39,35,Doctor,28907,16080,502160,Education Loan,4738,8087,4035,Low,Fixed Deposits,745,16.393910336693825,High,False
40,21,Banker,35410,25471,25244,Personal Loan,120,9817,4028,Low,Fixed Deposits,799,0.3410513504773108,High,True
41,42,Sales,18331,10059,424667,Home Loan,3316,4954,2935,Low,Fixed Deposits,685,18.09344651703757,Low,False
42,31,Self-employed,78309,45472,244014,Gold Loan,1031,31805,10516,Moderate,Mutual Funds,502,1.316941618215802,Medium,True
43,26,Self-employed,34069,19042,468133,Car Loan,3252,11773,6659,Low,Fixed Deposits,735,9.547119939887043,Medium,True
44,43,Government Employee,63215,27647,226881,Car Loan,1120,34446,13607,Moderate,Mutual Funds,900,1.7719454854054468,Medium,False
45,19,Banker,59506,34300,469825,Home Loan,3548,21656,10735,Moderate,Mutual Funds,675,5.962631923899128,High,False
46,37,Government Employee,76376,36526,366904,Car Loan,2688,37161,15401,Moderate,Mutual Funds,682,3.5195768742978966,Medium,True
47,45,Teacher,45799,21740,1188283,Home Loan,9217,14841,8743,Low,Fixed Deposits,612,20.125530563538486,Medium,True
48,24,Banker,31049,13587,308624,Car Loan,1629,15832,10736,Low,Fixed Deposits,748,5.247177518624708,High,False
49,25,Banker,18885,10248,369704,Gold Loan,2331,6304,4204,Low,Fixed Deposits,632,12.347022264009604,High,False
50,52,Sales,15000,10544,55687,Business Loan,242,4212,2247,Low,Fixed Deposits,802,1.61498174725287,Low,False
51,31,Banker,53227,27176,1245464,Two-wheeler Loan,11843,14207,6891,Moderate,Mutual Funds,634,22.250908508116666,High,False
52,34,Sales,65509,34388,1613515,Education Loan,20659,10461,6562,Moderate,Mutual Funds,734,31.53652628192744,Low,False
53,53,Sales,59433,39051,1684031,Personal Loan,12876,7505,4302,Moderate,Mutual Funds,695,21.664950987573288,Low,True
54,57,Sales,19404,9281,965426,Personal Loan,5645,4476,1671,Low,Fixed Deposits,855,29.094506341213176,Low,True
55,21,Banker,70776,53703,445028,Education Loan,2070,15001,9426,Moderate,Mutual Funds,740,2.9253435905772567,High,True
56,19,Teacher,36035,21912,42150,Car Loan,344,13778,6497,Low,Fixed Deposits,838,0.9563096640312404,Medium,False
57,23,Engineer,31861,18448,403594,Personal Loan,2271,11140,4184,Low,Fixed Deposits,710,7.129244589194621,High,False
58,59,Teacher,35587,22175,985198,Gold Loan,8007,5404,2230,Low,Fixed Deposits,682,22.500946260110453,Medium,True
59,21,Government Employee,51568,24052,408626,Education Loan,2388,25127,10227,Moderate,Mutual Funds,696,4.63123767966205,Medium,True
60,46,Self-employed,20305,13104,1611051,Gold Loan,7347,0,0,Low,Fixed Deposits,622,36.185647818806416,Medium,True
61,35,Doctor,49259,26857,795768,Gold Loan,7828,14572,5737,Low,Fixed Deposits,753,15.893433137270701,High,True
62,43,Banker,58588,44460,1611957,Personal Loan,12141,1985,693,Moderate,Mutual Funds,630,20.723653252059286,High,True
63,51,Sales,72146,33731,1184033,Car Loan,4958,33456,11692,Moderate,Mutual Funds,711,6.872896185445823,Low,True
64,27,Agriculture,53519,32262,273437,Education Loan,1263,19992,10662,Moderate,Mutual Funds,785,2.3616389023164754,Low,True
65,53,Self-employed,23207,14834,49368,Gold Loan,305,8066,4790,Low,Fixed Deposits,858,1.3161137341300522,Medium,True
66,31,Engineer,52977,21898,725507,Two-wheeler Loan,4742,26336,11288,Moderate,Mutual Funds,716,8.951233790619325,High,True
67,48,Banker,28794,15706,1093392,Education Loan,9830,3257,1022,Low,Fixed Deposits,786,34.139704330792256,High,True
68,32,Self-employed,27641,19156,1679640,Two-wheeler Loan,10971,0,0,Low,Fixed Deposits,774,39.69117740554478,Medium,False
69,25,Teacher,22745,16561,409184,Car Loan,1924,4259,2836,Low,Fixed Deposits,661,8.459055040873084,Medium,True
70,31,Teacher,15000,7878,1600412,Education Loan,8729,0,0,Low,Fixed Deposits,900,58.19743507139605,Medium,False
71,40,Banker,38656,27810,1726018,Gold Loan,15382,0,0,Low,Fixed Deposits,642,39.7928366867541,High,False
72,57,Teacher,72577,57125,301374,Two-wheeler Loan,3130,12320,3883,Moderate,Mutual Funds,709,4.313665841057073,Medium,True
73,38,Teacher,95129,70657,1703188,Car Loan,15808,8663,5123,Moderate,Mutual Funds,845,16.618153970065112,Medium,True
74,33,Banker,38528,17224,1982907,Two-wheeler Loan,21896,0,0,Low,Fixed Deposits,842,56.833647890159554,High,False
75,35,Teacher,71722,49910,1453677,Education Loan,18826,2984,1136,Moderate,Mutual Funds,701,26.248967189858014,Medium,False
76,41,Self-employed,42108,22227,1569539,Business Loan,11588,8292,2852,Low,Fixed Deposits,799,27.519857897981897,Medium,False
77,43,Engineer,16985,13509,1988830,Education Loan,24738,0,0,Low,Fixed Deposits,677,100.0,High,False
78,42,Teacher,64018,38035,1210962,Business Loan,13315,12666,8041,Moderate,Mutual Funds,651,20.799519267476732,Medium,True
79,58,Teacher,54696,24557,615772,Home Loan,3884,26254,16963,Moderate,Mutual Funds,578,7.102072650018296,Medium,True
80,46,Sales,86360,59594,1675061,Car Loan,18689,8076,4370,Moderate,Mutual Funds,772,21.64088886437251,Low,True
81,32,Engineer,19306,10216,1228971,Personal Loan,17188,0,0,Low,Fixed Deposits,782,89.03350287722215,High,True
82,18,Engineer,105920,84612,186100,Gold Loan,1588,19718,6823,High,Stocks,643,1.5000327494142829,High,True
83,42,Government Employee,81834,64805,507271,Gold Loan,5090,11938,6390,Moderate,Mutual Funds,726,6.220089493146048,Medium,False
84,24,Banker,49641,32884,442482,Education Loan,2896,13859,7855,Low,Fixed Deposits,900,5.835257045261867,High,True
85,26,Self-employed,44027,19897,191642,Education Loan,2443,21686,8246,Low,Fixed Deposits,814,5.550235243730012,Medium,True
86,41,Teacher,35683,24076,1848574,Two-wheeler Loan,9464,2141,1396,Low,Fixed Deposits,609,26.523546625588946,Medium,False
87,18,Doctor,52194,22819,141652,Business Loan,634,28739,10863,Moderate,Mutual Funds,800,1.2163563841874825,High,False
88,25,Banker,46321,19072,393384,Business Loan,2029,25218,10727,Low,Fixed Deposits,610,4.381721243089563,High,True
89,41,Teacher,60275,43951,884733,Home Loan,5674,10648,5837,Moderate,Mutual Funds,410,9.414650995092252,Medium,False
90,28,Agriculture,44112,21345,256805,Gold Loan,1194,21571,11979,Low,Fixed Deposits,697,2.7087589502467644,Low,False
91,34,Banker,78299,43190,1369252,Personal Loan,7397,27710,16065,Moderate,Mutual Funds,856,9.44833634130917,High,True
92,25,Doctor,52500,41442,493829,Personal Loan,7977,3079,1061,Moderate,Mutual Funds,839,15.1961277717051,High,True
93,52,Doctor,44863,23989,1674526,Car Loan,12788,8084,5172,Low,Fixed Deposits,737,28.506491132762758,High,True
94,52,Agriculture,70485,36553,254738,Two-wheeler Loan,1194,32736,16798,Moderate,Mutual Funds,645,1.6953908148921129,Low,True
95,50,Doctor,17549,13465,252542,Education Loan,2065,2018,985,Low,Fixed Deposits,748,11.77108576052168,High,True
96,22,Government Employee,56819,25244,103108,Two-wheeler Loan,1554,30020,20787,Moderate,Mutual Funds,673,2.735486494051052,Medium,False
97,59,Sales,50511,35551,1848508,Education Loan,9513,5446,3247,Moderate,Mutual Funds,648,18.833677367035616,Low,False
98,56,Self-employed,21782,17321,921339,Car Loan,4508,0,0,Low,Fixed Deposits,806,20.697194417993476,Medium,False
99,58,Banker,15829,12038,997942,Gold Loan,11224,0,0,Low,Fixed Deposits,647,70.91149255210058,High,False
100,45,Banker,70206,46382,636524,Business Loan,4061,19761,6681,Moderate,Mutual Funds,812,5.785123222908687,High,False
101,24,Engineer,69255,36402,429911,Education Loan,4546,28306,8802,Moderate,Mutual Funds,640,6.56534764518451,High,True
102,26,Sales,53451,26817,17503,Home Loan,92,26540,12247,Moderate,Mutual Funds,900,0.17284540860084324,Low,True
103,25,Doctor,84333,61369,393686,Personal Loan,3615,19347,13493,Moderate,Mutual Funds,535,4.287545212341614,High,False
104,29,Self-employed,58819,44227,205669,Business Loan,1759,12832,4747,Moderate,Mutual Funds,604,2.9906713364682154,Medium,True
105,51,Agriculture,74996,45760,1782400,Home Loan,8403,20831,11854,Moderate,Mutual Funds,684,11.205653333831279,Low,True
106,50,Doctor,58406,29070,27268,Gold Loan,187,29148,10766,Moderate,Mutual Funds,501,0.3203492471387198,High,False
107,40,Government Employee,44483,19802,645453,Gold Loan,3574,21105,12450,Low,Fixed Deposits,442,8.036356713992298,Medium,False
108,41,Agriculture,28849,12545,1108713,Home Loan,8372,7931,3982,Low,Fixed Deposits,502,29.020940870870675,Low,True
109,54,Doctor,37931,26082,296434,Education Loan,2608,9239,5285,Low,Fixed Deposits,670,6.877001732858525,High,False
110,52,Doctor,44857,25480,184197,Personal Loan,1067,18308,6978,Low,Fixed Deposits,673,2.379292496775791,High,True
111,57,Government Employee,77263,58885,1630552,Two-wheeler Loan,18555,0,0,Moderate,Mutual Funds,733,24.016021917019085,Medium,False
112,39,Teacher,65398,45508,1788808,Home Loan,14069,5819,4063,Moderate,Mutual Funds,680,21.513810765163516,Medium,True
113,44,Government Employee,56606,26972,1647212,Business Loan,16872,12760,7225,Moderate,Mutual Funds,729,29.807035917034092,Medium,False
114,52,Sales,67400,43507,1797575,Home Loan,9703,14188,7057,Moderate,Mutual Funds,654,14.397440254006385,Low,True
115,18,Banker,60547,34766,299422,Two-wheeler Loan,1302,24478,16382,Moderate,Mutual Funds,771,2.150524242318009,High,False
116,52,Agriculture,55238,34849,1624516,Car Loan,6791,13596,4165,Moderate,Mutual Funds,759,12.295310726433998,Low,True
117,54,Banker,20026,13922,768085,Personal Loan,5445,657,389,Low,Fixed Deposits,667,27.192095329370105,High,True
118,31,Government Employee,72783,52584,1332535,Business Loan,12636,7562,4957,Moderate,Mutual Funds,753,17.361202224748318,Medium,True
119,20,Agriculture,40829,30111,234762,Car Loan,1680,9037,2934,Low,Fixed Deposits,680,4.115619428300684,Low,True
120,18,Sales,71770,35999,14155,Gold Loan,66,35704,17138,Moderate,Mutual Funds,547,0.09281329352371966,Low,True
121,22,Banker,73704,30398,105014,Education Loan,1081,42223,16124,Moderate,Mutual Funds,790,1.4676570775961282,High,True
122,43,Teacher,36599,25462,960094,Gold Loan,4149,6986,3679,Low,Fixed Deposits,609,11.337682322709124,Medium,False
123,31,Banker,68994,30532,276030,Gold Loan,2271,36190,20259,Moderate,Mutual Funds,789,3.291865878997403,High,False
124,56,Doctor,42780,22500,162077,Gold Loan,682,19596,8251,Low,Fixed Deposits,732,1.5955807811557334,High,True
125,44,Sales,42899,17225,1659445,Business Loan,7866,17807,8618,Low,Fixed Deposits,691,18.337375585039528,Low,False
126,26,Teacher,55149,37096,462013,Personal Loan,2247,15804,6507,Moderate,Mutual Funds,512,4.075819230037498,Medium,True
127,32,Sales,55689,25998,809450,Two-wheeler Loan,6905,22785,10202,Moderate,Mutual Funds,853,12.39962162306994,Low,True
128,32,Banker,50771,33616,175299,Personal Loan,2846,14308,5205,Moderate,Mutual Funds,663,5.606946609945872,High,True
129,43,Agriculture,23314,18574,131623,Education Loan,1022,3717,2432,Low,Fixed Deposits,763,4.383843694082802,Low,True
130,59,Doctor,47571,20411,1782636,Personal Loan,15592,11567,3516,Low,Fixed Deposits,688,32.77756402357806,High,True
131,30,Government Employee,95569,41174,927628,Business Loan,13900,40493,26441,Moderate,Mutual Funds,672,14.545425347178591,Medium,False
132,49,Self-employed,15000,8042,640054,Home Loan,4239,2717,1436,Low,Fixed Deposits,719,28.264894492445713,Medium,True
133,56,Engineer,67394,50313,952922,Two-wheeler Loan,7189,9891,4279,Moderate,Mutual Funds,702,10.667703436574016,High,True
134,49,Teacher,71142,34590,636608,Education Loan,3654,32897,19384,Moderate,Mutual Funds,673,5.136268661311396,Medium,True
135,21,Self-employed,22833,12424,402922,Business Loan,2345,8063,4056,Low,Fixed Deposits,694,10.27072049162613,Medium,False
136,47,Banker,40611,17357,1719112,Personal Loan,21032,2220,1109,Low,Fixed Deposits,742,51.79118397202059,High,False
137,54,Government Employee,29985,21147,1184602,Home Loan,5022,3815,1312,Low,Fixed Deposits,749,16.75042403843361,Medium,False
138,40,Government Employee,87079,49053,1389307,Two-wheeler Loan,14835,23189,10570,Moderate,Mutual Funds,704,17.036800738257433,Medium,False
139,56,Teacher,72060,50708,729341,Personal Loan,5204,16147,6401,Moderate,Mutual Funds,762,7.221801905591333,Medium,False
140,32,Engineer,73028,55606,1477011,Car Loan,9989,7432,2276,Moderate,Mutual Funds,657,13.678561986241517,High,False
141,60,Doctor,52412,25844,1333234,Home Loan,6460,20106,8928,Moderate,Mutual Funds,900,12.327314805457036,High,True
142,46,Doctor,76241,55119,239123,Business Loan,3071,18050,6063,Moderate,Mutual Funds,848,4.028216201335853,High,False
143,53,Banker,49835,21111,1145285,Education Loan,8350,20372,8204,Low,Fixed Deposits,776,16.755780449948638,High,True
144,30,Agriculture,77183,58623,513486,Education Loan,2965,15593,5255,Moderate,Mutual Funds,505,3.842682325213081,Low,False
145,49,Banker,47026,31051,1608191,Car Loan,16289,0,0,Low,Fixed Deposits,760,34.63851682259238,High,False
146,24,Banker,36415,27299,404662,Personal Loan,2339,6775,2571,Low,Fixed Deposits,666,6.425490216491723,High,False
147,39,Doctor,86219,34494,1989368,Personal Loan,8792,42932,30050,Moderate,Mutual Funds,602,10.197766594971796,High,True
148,45,Agriculture,49583,23186,185000,Gold Loan,772,25624,7709,Low,Fixed Deposits,663,1.5575388657860327,Low,False
149,19,Sales,32024,17802,186760,Gold Loan,2836,11385,6324,Low,Fixed Deposits,613,8.857492576234687,Low,False
150,59,Engineer,31807,17551,1347403,Two-wheeler Loan,13157,1098,391,Low,Fixed Deposits,750,41.366621550941915,High,True
151,23,Government Employee,31868,15637,115891,Gold Loan,1000,15230,10177,Low,Fixed Deposits,861,3.1389330101309003,Medium,True
152,45,Government Employee,66888,36965,615059,Two-wheeler Loan,4665,25257,8523,Moderate,Mutual Funds,782,6.974497174269484,Medium,False
153,45,Engineer,48022,21683,984108,Gold Loan,9498,16839,11485,Low,Fixed Deposits,900,19.779569508064174,High,False
154,37,Sales,95959,54226,1593017,Education Loan,16486,25246,13743,Moderate,Mutual Funds,544,17.180367149379357,Low,True
155,47,Doctor,73723,53149,465082,Gold Loan,2006,18566,5579,Moderate,Mutual Funds,649,2.7213025420200596,High,True
156,28,Self-employed,55142,32623,174445,Education Loan,774,21744,14299,Moderate,Mutual Funds,605,1.403943383178622,Medium,True
157,45,Banker,78077,31792,1102101,Personal Loan,16098,30185,15354,Moderate,Mutual Funds,822,20.619128448542394,High,True
158,42,Self-employed,40089,22793,1047127,Business Loan,8654,8640,3499,Low,Fixed Deposits,677,21.58926453955234,Medium,False
159,56,Teacher,15000,6163,564524,Education Loan,4246,4590,2785,Low,Fixed Deposits,718,28.312584925141625,Medium,False
160,50,Sales,30208,23758,596151,Two-wheeler Loan,5786,662,444,Low,Fixed Deposits,763,19.155872995057294,Low,False
161,18,Banker,52944,23876,230921,Two-wheeler Loan,1333,27733,13686,Moderate,Mutual Funds,554,2.518299637056532,High,True
162,44,Banker,45549,31113,1543024,Gold Loan,8803,5631,2400,Low,Fixed Deposits,637,19.328133389048503,High,False
163,30,Banker,66488,52466,1303801,Car Loan,6118,7903,4864,Moderate,Mutual Funds,799,9.20245417453169,High,True
164,58,Teacher,47507,34699,1664834,Education Loan,8610,4196,2403,Low,Fixed Deposits,645,18.124027861612415,Medium,True
165,20,Government Employee,64960,44155,229594,Personal Loan,1456,19348,12683,Moderate,Mutual Funds,528,2.2417405684244085,Medium,True
166,56,Government Employee,80019,58876,948328,Home Loan,5338,15803,9118,Moderate,Mutual Funds,609,6.6713115795607445,Medium,True
167,23,Banker,47446,37611,360964,Car Loan,3301,6532,2596,Low,Fixed Deposits,671,6.9594260385414595,High,True
168,25,Self-employed,61102,39626,192401,Car Loan,1153,20321,13669,Moderate,Mutual Funds,716,1.8883721392511759,Medium,True
169,44,Agriculture,15000,9355,591330,Car Loan,3993,1651,564,Low,Fixed Deposits,692,26.625532924151347,Low,True
170,26,Engineer,47522,30950,214804,Business Loan,2557,14014,5706,Low,Fixed Deposits,638,5.380945649048232,High,True
171,54,Agriculture,25360,15547,1046426,Two-wheeler Loan,10094,0,0,Low,Fixed Deposits,793,39.806740678447476,Low,False
172,50,Teacher,52904,34601,543573,Gold Loan,4831,13471,7089,Moderate,Mutual Funds,687,9.132680387361217,Medium,True
173,59,Engineer,54719,31733,798333,Business Loan,3526,19458,5956,Moderate,Mutual Funds,720,6.444903241006586,High,False
174,41,Sales,54653,26636,1197190,Personal Loan,11798,16217,9929,Moderate,Mutual Funds,643,21.588040543208002,Low,True
175,32,Government Employee,40397,18101,1305899,Business Loan,11653,10641,4731,Low,Fixed Deposits,850,28.846613647817108,Medium,False
176,49,Self-employed,95969,41011,307839,Personal Loan,2433,52524,24295,Moderate,Mutual Funds,660,2.536051024797666,Medium,False
177,49,Doctor,24639,12450,1954063,Car Loan,10887,1300,811,Low,Fixed Deposits,707,44.18905999735949,High,False
178,41,Teacher,23417,9798,1089544,Gold Loan,13404,213,96,Low,Fixed Deposits,803,57.24195417340259,Medium,False
179,58,Banker,83099,52092,271376,Two-wheeler Loan,1171,29835,9514,Moderate,Mutual Funds,728,1.409391409422702,High,True
180,29,Government Employee,35914,18442,440831,Two-wheeler Loan,2042,15428,5717,Low,Fixed Deposits,725,5.687893705723659,Medium,True
181,56,Government Employee,31106,22701,149276,Education Loan,910,7493,5113,Low,Fixed Deposits,502,2.9280083384756352,Medium,True
182,19,Teacher,96058,41275,317319,Car Loan,1749,53032,17403,Moderate,Mutual Funds,768,1.8218027813896014,Medium,True
183,20,Banker,69714,34197,291071,Gold Loan,4620,30896,13655,Moderate,Mutual Funds,705,6.627464689156846,High,True
184,54,Self-employed,38110,26375,1400863,Education Loan,11576,157,79,Low,Fixed Deposits,754,30.376338709888355,Medium,False
185,34,Teacher,54350,34758,1540894,Home Loan,7582,12009,5972,Moderate,Mutual Funds,718,13.951129467449746,Medium,True
186,19,Sales,88917,37860,155501,Two-wheeler Loan,2102,48953,14763,Moderate,Mutual Funds,644,2.364987753466345,Low,False
187,19,Engineer,63832,47931,83465,Home Loan,753,15147,7580,Moderate,Mutual Funds,789,1.1799519999704147,High,False
188,45,Teacher,75722,56860,1059427,Gold Loan,6407,12454,5648,Moderate,Mutual Funds,719,8.461281367956639,Medium,False
189,40,Engineer,66096,35173,1464776,Car Loan,13798,17123,11795,Moderate,Mutual Funds,571,20.87654028312011,High,False
190,54,Government Employee,68605,36783,1848215,Two-wheeler Loan,8102,23719,8625,Moderate,Mutual Funds,830,11.809758275667997,Medium,False
191,49,Engineer,50794,40412,1950359,Two-wheeler Loan,23332,0,0,Moderate,Mutual Funds,556,45.935151692729704,High,True
192,50,Agriculture,50226,32670,1666408,Personal Loan,8187,9367,4382,Moderate,Mutual Funds,790,16.3013060906986,Low,True
193,18,Teacher,55341,33897,493123,Gold Loan,3256,18186,8298,Moderate,Mutual Funds,848,5.884295003561822,Medium,False
194,36,Self-employed,64689,47563,1933095,Car Loan,9910,7215,4086,Moderate,Mutual Funds,589,15.319887369666427,Medium,False
195,19,Self-employed,44333,22792,376932,Business Loan,3251,18289,7063,Low,Fixed Deposits,687,7.334074537006904,Medium,False
196,43,Sales,52441,29979,1861284,Education Loan,12196,10265,3987,Moderate,Mutual Funds,678,23.257564576543455,Low,True
197,49,Teacher,43793,22207,1352210,Education Loan,6311,15273,9036,Low,Fixed Deposits,682,14.413134493501174,Medium,False
198,23,Engineer,52313,37438,205932,Home Loan,1429,13444,6723,Moderate,Mutual Funds,883,2.7329880639081248,High,True
199,49,Sales,24980,15720,740049,Personal Loan,5932,3326,1550,Low,Fixed Deposits,590,23.748106899148226,Low,True
200,21,Banker,102119,67759,101833,Business Loan,650,33709,12394,High,Stocks,669,0.6371591936834682,High,True
201,28,Teacher,35341,17703,163776,Gold Loan,865,16771,6289,Low,Fixed Deposits,850,2.4503156009160363,Medium,True
202,34,Teacher,42770,20875,635965,Personal Loan,4547,17346,5277,Low,Fixed Deposits,667,10.633060012381753,Medium,True
203,55,Sales,33614,20012,1159462,Car Loan,5063,8538,2873,Low,Fixed Deposits,606,15.062776533051622,Low,True
204,41,Teacher,62314,43309,691249,Gold Loan,6112,12891,6738,Moderate,Mutual Funds,726,9.808991282613427,Medium,True
205,22,Teacher,46079,28112,472557,Business Loan,3245,14720,9667,Low,Fixed Deposits,780,7.044322617501744,Medium,True
206,51,Self-employed,30723,12690,933456,Business Loan,4756,13276,5507,Low,Fixed Deposits,660,15.4820098231679,Medium,False
207,23,Agriculture,63137,47189,247851,Education Loan,1346,14600,6294,Moderate,Mutual Funds,755,2.1330046549916113,Low,False
208,39,Agriculture,65832,28036,332105,Car Loan,1541,36254,12552,Moderate,Mutual Funds,562,2.3414293553231875,Low,True
209,28,Agriculture,48662,38069,219547,Two-wheeler Loan,916,9675,4406,Low,Fixed Deposits,567,1.8843797176678123,Low,True
210,33,Agriculture,36727,15060,998605,Personal Loan,7297,14368,4524,Low,Fixed Deposits,655,19.870695223009914,Low,False
211,50,Sales,93821,63590,212674,Car Loan,2658,27572,18392,Moderate,Mutual Funds,759,2.833261828109572,Low,True
212,26,Self-employed,56801,24588,57142,Gold Loan,872,31340,17840,Moderate,Mutual Funds,776,1.5364966316476307,Medium,True
213,23,Self-employed,24518,18738,382400,Personal Loan,2003,3775,2629,Low,Fixed Deposits,581,8.172762823027243,Medium,False
214,33,Sales,78280,45854,1745310,Gold Loan,8030,24394,15932,Moderate,Mutual Funds,772,10.25928706288658,Low,False
215,46,Banker,32884,14962,904173,Car Loan,9066,8855,4331,Low,Fixed Deposits,716,27.570759000607353,High,True
216,20,Banker,104837,56226,475721,Two-wheeler Loan,5374,43236,21958,High,Stocks,612,5.126171992355479,High,True
217,37,Government Employee,51593,24038,373,Business Loan,5,27549,10364,Moderate,Mutual Funds,566,0.010155994572685328,Medium,True
218,53,Teacher,70266,32900,1227958,Home Loan,5901,31463,15254,Moderate,Mutual Funds,722,8.398363050012646,Medium,True
219,36,Sales,15000,11688,1232856,Two-wheeler Loan,10623,0,0,Low,Fixed Deposits,828,70.82404957388061,Low,True
220,43,Engineer,24317,14057,914886,Business Loan,6914,3344,1071,Low,Fixed Deposits,703,28.43670917334147,High,True
221,20,Self-employed,76677,54863,204059,Business Loan,1355,20457,13203,Moderate,Mutual Funds,606,1.7683555716988608,Medium,True
222,36,Sales,56356,36960,910766,Education Loan,4314,15081,6581,Moderate,Mutual Funds,513,7.655530480924395,Low,False
223,37,Government Employee,90847,60919,829920,Car Loan,4684,25242,16655,Moderate,Mutual Funds,852,5.156855821800185,Medium,False
